# Fork length (cm) and assigned age (from otoliths) from male Jonubi
#  (Chalcalburnus mossulensis) from the Karasu River.  Data extracted from table 
#  2 of Yildirim, A., H.U. Haluloulu, M. Turkmen, and O. Erdouan. 2003.  Age and 
#  growth characteristics of Chalcalburnus mossulensis (Heckel, 1843) living in 
#  Karasu River (Erzurum-Turkey).  Turkish Journal of Veterinary and Animal 
#  Science.  27: 1091-1096
#
fl	age
5	1
6	1
7	1
8	1
8	1
9	1
9	1
9	1
9	1
9	1
9	1
10	1
10	1
10	1
10	1
10	1
10	1
10	1
10	1
10	1
11	1
10	2
10	2
10	2
10	2
10	2
10	2
10	2
10	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
11	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
12	2
13	2
10	3
10	3
10	3
10	3
11	3
11	3
11	3
11	3
11	3
11	3
11	3
11	3
11	3
11	3
11	3
11	3
11	3
11	3
11	3
11	3
11	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
12	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
13	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
14	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
15	3
16	3
16	3
13	4
13	4
13	4
14	4
14	4
14	4
14	4
14	4
14	4
14	4
14	4
14	4
14	4
15	4
15	4
15	4
15	4
15	4
15	4
15	4
15	4
15	4
15	4
15	4
15	4
16	4
16	4
16	4
16	4
16	4
16	4
16	4
16	4
16	4
16	4
17	4
15	5
15	5
16	5
16	5
17	5
17	5
17	5
17	5
18	5
17	6
17	6
18	6
