#Data file LTSchram93.txt
#Data estimated from Figure 2 of Schram, S.T. 1993.  Fecundity and egg deposition of a wild Lake
#  Superior Lake Trout stock.  Wisconsin Department of Natural Resources, Fisheries Management
#  Report no. 149.
# TL is in mm.
#
tl	eggs
638	1991
639	2639
640	3104
641	5081
645	3586
649	4699
651	2112
653	2205
660	3919
662	5006
663	5888
664	6005
665	3500
667	4004
669	1892
670	6274
673	3008
674	3990
675	4880
677	6305
679	3094
680	3994
682	4694
685	5808
688	1026
689	1085
690	4004
692	5813
691	8105
700	3217
702	4890
703	5012
704	6905
707	5020
712	4098
718	5998
720	6117
723	6217
728	4873
730	7075
732	5605
734	4932
735	5018
736	5111
738	8806
740	5876
742	6100
745	6806
749	2408
751	5109
753	5294
754	6802
755	6900
756	8209
761	6014
765	7013
771	5192
772	5719
775	8694
775	10110
781	6828
783	6801
785	7907
793	5187
795	5814
800	7922
802	10232
805	7105
807	9990
809	5105
810	5993
811	6719
813	7403
814	8802
812	10397
819	3099
820	6832
821	6995
822	7418
823	7296
824	6798
830	5880
840	7921
853	5091
850	7180
851	7310
852	8692
854	9105
855	6996
859	5868
860	6918
861	7585
864	9690
874	12000
875	10390
877	15719
880	9605
893	7998
899	9087
914	5207
930	11686
