# Ages assigned at two different times by Reader B to the otoliths of jackass
#   morwong (Nemadactylus macropterus).  Data extracted from table 6 of Restall, 
#   J.E., and Krusic–Golub, K. (2004). Development of Jackass Morwong Age-Length 
#   keys for 2000–2002. Final report to Australian Fisheries Management 
#   Authority. 13 pp. Primary Industries Research Victoria, Queenscliff. 
#
first	second
3	4
3	4
3	4
3	4
3	3
3	3
3	3
3	3
3	3
3	3
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	3
4	3
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	6
5	6
5	7
5	4
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	5
6	5
6	5
6	5
6	5
7	7
7	7
7	7
7	7
7	7
7	7
7	8
7	8
7	10
7	6
8	8
8	8
8	8
8	9
8	9
9	9
9	9
9	9
9	9
9	10
9	10
9	10
9	8
10	10
10	10
10	10
10	10
10	10
10	11
10	9
10	8
11	11
11	11
11	11
11	11
11	11
11	11
11	12
11	10
11	10
12	12
12	12
12	12
12	13
12	14
13	13
13	13
13	14
14	14
14	14
14	14
14	14
15	15
15	16
15	16
15	16
16	16
17	16
17	18
19	19
19	17
22	22
23	23
