# RedDrum.txt
#
# Extracted (approximately) from Figure 27 in Vaughan, D.S.
#   and T.E. Helser.  1990.  Status of the red drum stock of
#   the Atlantic Coast: Stock assessment report for 1989.
#   NOAA Technical Memorandum, NMFS-SEFC-263.
#
# age: Otolith age (years at half-year)
# fl: fork length (mm)
#
age	fl
0.5	53
0.5	78
0.5	96
0.5	107
0.5	121
0.5	129
0.5	160
0.5	185
0.5	207
0.5	230
0.5	240
0.5	252
0.5	261
0.5	275
0.5	283
0.5	291
0.5	302
0.5	272
0.5	288
0.5	294
0.5	307
0.5	314
0.5	328
0.5	345
0.5	357
0.5	382
0.5	421
0.5	544
0.5	57
0.5	76
0.5	99
0.5	103
0.5	123
0.5	126
0.5	162
0.5	189
0.5	209
0.5	236
0.5	243
0.5	254
0.5	267
0.5	271
0.5	280
0.5	294
0.5	303
0.5	319
0.5	322
0.5	341
0.5	361
0.5	388
0.5	427
0.5	550
1.5	306
1.5	312
1.5	330
1.5	343
1.5	359
1.5	365
1.5	384
1.5	400
1.5	411
1.5	415
1.5	425
1.5	435
1.5	445
1.5	452
1.5	322
1.5	330
1.5	345
1.5	487
1.5	511
1.5	519
1.5	528
1.5	538
1.5	546
1.5	556
1.5	562
1.5	571
1.5	309
1.5	316
1.5	333
1.5	347
1.5	354
1.5	368
1.5	387
1.5	404
1.5	418
1.5	412
1.5	427
1.5	436
1.5	441
1.5	458
1.5	324
1.5	334
1.5	342
1.5	484
1.5	514
1.5	516
1.5	527
1.5	535
1.5	549
1.5	553
1.5	560
1.5	575
1.5	304
1.5	318
1.5	332
1.5	342
1.5	355
1.5	363
1.5	387
1.5	401
1.5	414
1.5	416
1.5	426
1.5	433
1.5	448
1.5	456
1.5	329
1.5	337
1.5	344
1.5	481
1.5	518
1.5	512
1.5	525
1.5	532
1.5	544
1.5	556
1.5	564
1.5	578
2.5	456
2.5	507
2.5	519
2.5	526
2.5	534
2.5	538
2.5	548
2.5	558
2.5	569
2.5	575
2.5	587
2.5	595
2.5	599
2.5	612
2.5	618
2.5	630
2.5	647
2.5	657
2.5	667
2.5	675
2.5	704
2.5	721
2.5	735
2.5	749
2.5	755
2.5	743
2.5	712
2.5	452
2.5	504
2.5	517
2.5	522
2.5	532
2.5	537
2.5	546
2.5	554
2.5	567
2.5	574
2.5	588
2.5	593
2.5	597
2.5	614
2.5	616
2.5	633
2.5	642
2.5	658
2.5	663
2.5	671
2.5	708
2.5	728
2.5	736
2.5	742
2.5	758
2.5	742
2.5	716
2.5	451
2.5	503
2.5	514
2.5	527
2.5	537
2.5	532
2.5	542
2.5	550
2.5	562
2.5	571
2.5	585
2.5	598
2.5	592
2.5	610
2.5	612
2.5	639
2.5	644
2.5	654
2.5	667
2.5	670
2.5	703
2.5	724
2.5	731
2.5	747
2.5	755
2.5	748
2.5	712
3.5	599
3.5	626
3.5	634
3.5	651
3.5	669
3.5	677
3.5	686
3.5	698
3.5	704
3.5	718
3.5	729
3.5	743
3.5	753
3.5	768
3.5	786
3.5	794
3.5	815
3.5	835
3.5	856
3.5	593
3.5	620
3.5	637
3.5	654
3.5	665
3.5	679
3.5	683
3.5	696
3.5	701
3.5	715
3.5	724
3.5	748
3.5	751
3.5	765
3.5	789
3.5	793
3.5	818
3.5	832
3.5	858
4.5	620
4.5	708
4.5	716
4.5	727
4.5	739
4.5	739
4.5	747
4.5	760
4.5	768
4.5	782
4.5	803
4.5	815
4.5	827
4.5	864
4.5	887
4.5	938
5.5	675
5.5	796
5.5	821
5.5	852
5.5	870
5.5	891
5.5	963
6.5	994
6.5	959
6.5	942
6.5	922
6.5	907
6.5	874
6.5	838
6.5	799
6.5	780
7.5	950
7.5	967
7.5	979
8.5	807
8.5	850
8.5	889
8.5	901
8.5	913
8.5	930
8.5	942
8.5	963
9.5	1028
9.5	991
9.5	975
9.5	963
9.5	957
9.5	938
9.5	903
9.5	895
10.5	938
10.5	965
10.5	983
10.5	1014
11.5	916
12.5	893
12.5	1014
13.5	903
13.5	969
13.5	989
13.5	1004
14.5	872
14.5	903
14.5	942
14.5	961
14.5	981
14.5	1004
14.5	1012
14.5	1035
14.5	1076
15.5	938
15.5	952
16.5	879
16.5	901
16.5	924
16.5	936
16.5	948
16.5	952
16.5	961
16.5	977
16.5	989
16.5	1010
16.5	1026
17.5	862
17.5	903
17.5	948
17.5	1012
18.5	881
18.5	950
18.5	965
18.5	1082
19.5	940
19.5	975
19.5	1049
20.5	907
21.5	944
21.5	987
21.5	1000
22.5	893
22.5	969
22.5	991
22.5	1018
22.5	1106
23.5	981
23.5	991
23.5	1002
23.5	1055
24.5	998
24.5	1055
25.5	998
25.5	1022
25.5	1096
25.5	1166
26.5	924
26.5	1043
26.5	1061
27.5	1049
27.5	1004
28.5	955
28.5	981
28.5	1004
29.5	948
29.5	1055
29.5	1104
30.5	1000
32.5	989
33.5	1037
33.5	1045
33.5	1106
34.5	987
34.5	1065
34.5	1123
35.5	1150
35.5	1187
36.5	1189
37.5	1102
37.5	1010
38.5	1020
39.5	1059
39.5	1176
43.5	1187
45.5	1121
47.5	1174
