fish.id	month	day	year	indiv	location	length	weight	sex	maturity	age
1992.0001	4	23	1992	1	160170	90	9.3	male	ripe	NA
1992.0002	4	23	1992	2	160170	128	32.5	female	ripe	NA
1992.0003	4	23	1992	3	160170	112	19	male	ripe	NA
1992.0004	4	23	1992	4	160170	68	4.4	male	ripe	NA
1992.0005	4	23	1992	5	160170	56	2.1	unknown	unknown	NA
1992.0006	4	23	1992	6	160170	58	2.8	male	ripe	NA
1992.0007	4	23	1992	7	160170	111	16.1	male	ripe	NA
1992.0008	4	23	1992	8	160170	111	17.9	male	ripe	NA
1992.0009	4	23	1992	9	160170	115	22.7	male	ripe	NA
1992.001	4	23	1992	10	160170	65	3.4	female	immature	1
1992.0011	4	23	1992	11	160170	111	18.3	male	ripe	NA
1992.0012	4	23	1992	12	160170	90	9.3	male	ripe	NA
1992.0013	4	23	1992	13	160170	69	4.6	male	ripe	NA
1992.0014	4	23	1992	14	160170	78	6.3	male	ripe	NA
1992.0015	4	23	1992	15	160170	101	12.7	male	ripe	NA
1992.0016	4	23	1992	16	160170	100	12.4	male	ripe	NA
1992.0017	4	23	1992	17	160170	100	16	female	ripe	NA
1992.0018	4	23	1992	18	160170	78	6.4	male	ripe	NA
1992.0019	4	23	1992	19	160170	69	4	male	ripe	NA
1992.002	4	23	1992	20	160170	78	6.1	female	ripe	NA
1992.0021	4	23	1992	21	160170	68	4.2	male	ripe	NA
1992.0022	4	23	1992	22	160170	97	11.7	male	ripe	NA
1992.0023	4	23	1992	23	160170	89	9.5	male	ripe	NA
1992.0024	4	23	1992	24	160170	73	4.7	male	ripe	NA
1992.0025	4	23	1992	25	160170	108	16.4	female	ripe	NA
1992.0026	4	23	1992	26	160170	83	NA	unknown	mature	NA
1992.0027	4	23	1992	27	160170	96	12.9	male	ripe	NA
1992.0028	4	23	1992	28	160170	73	5.1	male	ripe	NA
1992.0029	4	23	1992	29	160170	97	11.5	male	ripe	NA
1992.003	4	23	1992	30	200210	135	28.5	male	ripe	NA
1992.0031	4	23	1992	31	180170	100	12.6	male	ripe	NA
1992.0032	4	27	1992	32	120080	142	39.3	female	ripe	3
1992.0033	4	27	1992	33	120080	127	27.3	female	ripe	NA
1992.0034	4	27	1992	34	120080	120	23	female	ripe	NA
1992.0035	4	27	1992	35	120080	137	37	female	ripe	NA
1992.0036	4	27	1992	36	120080	82	7.1	female	ripe	NA
1992.0037	4	27	1992	37	120080	124	30	female	ripe	NA
1992.0038	4	23	1992	38	210140	141	40.7	female	ripe	NA
1992.0039	4	23	1992	39	210140	85	8.2	female	ripe	2
1992.004	4	23	1992	40	210140	136	35.6	female	ripe	NA
