# The total length (inches) and age (from scales) of brown trout (Salmo trutta) and
#  rainbow trout (Oncorhynchus mykiss) migrating upstream on the Bois Brule River, 
#  WI in 1978 and 1979.  Data obtained from tables 18 and 19 of Scholl, D.K., P.J.
#  Peeters, and S.T. Schram.  1984.  Migratory brown trout and rainbow trout 
#  populations of the Brule River, Wisconsin.  Wisconsin Department of Natural 
#  Resources, Fish Management Report No. 123.
#
tl	age	species
16	4	Brown
16	4	Brown
17	2	Brown
17	3	Brown
17	3	Brown
17	3	Brown
17	3	Brown
17	3	Brown
17	3	Brown
17	4	Brown
17	4	Brown
17	4	Brown
17	4	Brown
18	2	Brown
18	3	Brown
18	3	Brown
18	3	Brown
18	3	Brown
18	3	Brown
18	3	Brown
18	3	Brown
18	3	Brown
18	4	Brown
18	4	Brown
18	4	Brown
18	4	Brown
19	3	Brown
19	3	Brown
19	3	Brown
19	3	Brown
19	3	Brown
19	3	Brown
19	3	Brown
19	3	Brown
19	3	Brown
19	3	Brown
19	3	Brown
19	3	Brown
19	3	Brown
19	3	Brown
19	3	Brown
19	3	Brown
19	3	Brown
19	4	Brown
19	4	Brown
19	4	Brown
19	4	Brown
19	4	Brown
19	4	Brown
19	4	Brown
19	4	Brown
19	5	Brown
19	5	Brown
20	3	Brown
20	3	Brown
20	3	Brown
20	3	Brown
20	3	Brown
20	3	Brown
20	3	Brown
20	3	Brown
20	3	Brown
20	3	Brown
20	3	Brown
20	3	Brown
20	3	Brown
20	3	Brown
20	3	Brown
20	3	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	4	Brown
20	5	Brown
21	2	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	3	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	4	Brown
21	5	Brown
22	3	Brown
22	3	Brown
22	3	Brown
22	3	Brown
22	3	Brown
22	3	Brown
22	3	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	4	Brown
22	5	Brown
23	3	Brown
23	4	Brown
23	4	Brown
23	4	Brown
23	4	Brown
23	4	Brown
23	4	Brown
23	4	Brown
23	4	Brown
23	4	Brown
23	4	Brown
23	4	Brown
23	4	Brown
23	4	Brown
23	5	Brown
23	5	Brown
23	5	Brown
23	5	Brown
23	5	Brown
24	4	Brown
24	4	Brown
24	4	Brown
24	4	Brown
24	4	Brown
24	4	Brown
24	4	Brown
24	4	Brown
24	4	Brown
25	4	Brown
25	4	Brown
25	4	Brown
25	4	Brown
25	4	Brown
25	4	Brown
25	4	Brown
25	4	Brown
25	5	Brown
25	7	Brown
26	4	Brown
26	6	Brown
27	5	Brown
28	6	Brown
29	7	Brown
29	7	Brown
30	9	Brown
33	9	Brown
12	3	Rainbow
14	3	Rainbow
14	3	Rainbow
14	3	Rainbow
14	4	Rainbow
15	3	Rainbow
15	3	Rainbow
15	3	Rainbow
15	3	Rainbow
15	3	Rainbow
15	3	Rainbow
15	3	Rainbow
15	3	Rainbow
15	3	Rainbow
15	3	Rainbow
15	3	Rainbow
15	3	Rainbow
16	3	Rainbow
16	3	Rainbow
16	3	Rainbow
16	4	Rainbow
16	4	Rainbow
17	3	Rainbow
17	3	Rainbow
17	3	Rainbow
17	3	Rainbow
17	4	Rainbow
17	4	Rainbow
17	4	Rainbow
17	5	Rainbow
18	3	Rainbow
18	4	Rainbow
18	4	Rainbow
18	4	Rainbow
18	4	Rainbow
18	4	Rainbow
18	4	Rainbow
18	4	Rainbow
18	4	Rainbow
18	4	Rainbow
19	4	Rainbow
19	4	Rainbow
19	4	Rainbow
19	4	Rainbow
19	4	Rainbow
19	4	Rainbow
19	4	Rainbow
19	4	Rainbow
19	5	Rainbow
20	4	Rainbow
20	4	Rainbow
20	4	Rainbow
20	4	Rainbow
20	4	Rainbow
20	4	Rainbow
20	4	Rainbow
20	4	Rainbow
20	5	Rainbow
20	5	Rainbow
20	6	Rainbow
20	6	Rainbow
21	3	Rainbow
21	4	Rainbow
21	4	Rainbow
21	4	Rainbow
21	4	Rainbow
21	4	Rainbow
21	4	Rainbow
21	4	Rainbow
21	4	Rainbow
21	4	Rainbow
21	4	Rainbow
21	4	Rainbow
21	4	Rainbow
21	4	Rainbow
21	4	Rainbow
21	4	Rainbow
21	5	Rainbow
21	5	Rainbow
21	5	Rainbow
21	5	Rainbow
21	5	Rainbow
21	5	Rainbow
21	5	Rainbow
21	5	Rainbow
21	6	Rainbow
21	6	Rainbow
21	6	Rainbow
22	4	Rainbow
22	4	Rainbow
22	4	Rainbow
22	4	Rainbow
22	4	Rainbow
22	4	Rainbow
22	4	Rainbow
22	4	Rainbow
22	4	Rainbow
22	4	Rainbow
22	4	Rainbow
22	4	Rainbow
22	4	Rainbow
22	4	Rainbow
22	5	Rainbow
22	5	Rainbow
22	5	Rainbow
22	5	Rainbow
22	5	Rainbow
22	5	Rainbow
22	5	Rainbow
22	5	Rainbow
22	5	Rainbow
22	5	Rainbow
22	5	Rainbow
22	6	Rainbow
22	6	Rainbow
22	6	Rainbow
23	4	Rainbow
23	4	Rainbow
23	4	Rainbow
23	4	Rainbow
23	4	Rainbow
23	4	Rainbow
23	4	Rainbow
23	4	Rainbow
23	4	Rainbow
23	4	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	5	Rainbow
23	6	Rainbow
23	6	Rainbow
23	6	Rainbow
23	6	Rainbow
23	6	Rainbow
23	6	Rainbow
23	6	Rainbow
23	6	Rainbow
23	6	Rainbow
23	6	Rainbow
23	6	Rainbow
23	6	Rainbow
23	6	Rainbow
23	7	Rainbow
24	4	Rainbow
24	4	Rainbow
24	4	Rainbow
24	4	Rainbow
24	4	Rainbow
24	4	Rainbow
24	4	Rainbow
24	4	Rainbow
24	4	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	5	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	6	Rainbow
24	7	Rainbow
24	7	Rainbow
24	7	Rainbow
24	7	Rainbow
24	7	Rainbow
25	4	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
25	5	Rainbow
