ID	Year	Sex	Est.Age	TL	Scale.Rad	Dist.Ann	BC.Age	BC.Len
2000.10001.F	2000	F	4	452.1	5.2	1.2	1	99.36
2000.10001.F	2000	F	4	452.1	5.2	2.4	2	205.18
2000.10001.F	2000	F	4	452.1	5.2	3.7	3	319.82
2000.10001.F	2000	F	4	452.1	5.2	4.5	4	390.37
2000.10002.F	2000	F	2	342.9	3.2	1.3	1	135.47
2000.10002.F	2000	F	2	342.9	3.2	2.4	2	255.56
2000.10031.F	2000	F	9	604.5	6.4	1.5	1	136.73
2000.10031.F	2000	F	9	604.5	6.4	2.5	2	232.2
2000.10031.F	2000	F	9	604.5	6.4	3.5	3	327.66
2000.10031.F	2000	F	9	604.5	6.4	4.5	4	423.12
2000.10031.F	2000	F	9	604.5	6.4	5.2	5	489.94
2000.10031.F	2000	F	9	604.5	6.4	5.7	6	537.68
2000.10031.F	2000	F	9	604.5	6.4	6	7	566.31
2000.10031.F	2000	F	9	604.5	6.4	6.3	8	594.95
2000.10031.F	2000	F	9	604.5	6.4	6.3	9	594.95
2000.10041.F	2000	F	5	510.5	5.7	1.4	1	120.51
2000.10041.F	2000	F	5	510.5	5.7	2.4	2	211.21
2000.10041.F	2000	F	5	510.5	5.7	3.8	3	338.18
2000.10041.F	2000	F	5	510.5	5.7	4.9	4	437.94
2000.10041.F	2000	F	5	510.5	5.7	5.5	5	492.36
2000.10044.F	2000	F	5	472.4	5.4	1	1	82.22
2000.10044.F	2000	F	5	472.4	5.4	2	2	170.9
2000.10044.F	2000	F	5	472.4	5.4	3.6	3	312.78
2000.10044.F	2000	F	5	472.4	5.4	4.2	4	365.99
2000.10044.F	2000	F	5	472.4	5.4	4.9	5	428.06
2000.10051.F	2000	F	1	233.7	2.2	1	1	102.7
2000.10053.F	2000	F	1	223.5	1.8	0.9	1	108.52
2000.10054.F	2000	F	1	198.1	1.9	1.1	1	111.97
2000.10055.F	2000	F	1	213.4	2.1	1.2	1	119.17
2000.10058.F	2000	F	7	520.7	5.9	1.2	1	100.76
2000.10058.F	2000	F	7	520.7	5.9	1.8	2	154.37
2000.10058.F	2000	F	7	520.7	5.9	2.7	3	234.78
2000.10058.F	2000	F	7	520.7	5.9	3.5	4	306.26
2000.10058.F	2000	F	7	520.7	5.9	4.9	5	431.35
2000.10058.F	2000	F	7	520.7	5.9	5.5	6	484.96
2000.10058.F	2000	F	7	520.7	5.9	5.7	7	502.83
2000.10059.F	2000	F	8	556.3	5.2	0.8	1	80.12
2000.10059.F	2000	F	8	556.3	5.2	1.6	2	166.7
2000.10059.F	2000	F	8	556.3	5.2	2.8	3	296.56
2000.10059.F	2000	F	8	556.3	5.2	3.6	4	383.14
2000.10059.F	2000	F	8	556.3	5.2	4.3	5	458.9
2000.10059.F	2000	F	8	556.3	5.2	4.9	6	523.83
2000.10059.F	2000	F	8	556.3	5.2	5.1	7	545.48
2000.10059.F	2000	F	8	556.3	5.2	5.1	8	545.48
2000.10060.F	2000	F	5	523.2	6.6	1.2	1	89.84
2000.10060.F	2000	F	5	523.2	6.6	2.6	2	202.19
2000.10060.F	2000	F	5	523.2	6.6	4.2	3	330.6
2000.10060.F	2000	F	5	523.2	6.6	5.2	4	410.85
2000.10060.F	2000	F	5	523.2	6.6	6.1	5	483.07
2000.10061.F	2000	F	9	622.3	6.5	1.6	1	148.31
2000.10061.F	2000	F	9	622.3	6.5	2.5	2	235.37
2000.10061.F	2000	F	9	622.3	6.5	3.6	3	341.78
2000.10061.F	2000	F	9	622.3	6.5	4.7	4	448.18
2000.10061.F	2000	F	9	622.3	6.5	5.3	5	506.22
2000.10061.F	2000	F	9	622.3	6.5	5.7	6	544.91
2000.10061.F	2000	F	9	622.3	6.5	6.2	7	593.28
2000.10061.F	2000	F	9	622.3	6.5	6.4	8	612.63
2000.10061.F	2000	F	9	622.3	6.5	6.5	9	622.3
2000.10062.F	2000	F	4	464.8	5.7	1.4	1	109.29
2000.10062.F	2000	F	4	464.8	5.7	3.5	2	282.91
2000.10062.F	2000	F	4	464.8	5.7	4.2	3	340.78
2000.10062.F	2000	F	4	464.8	5.7	5.1	4	415.19
2000.10063.F	2000	F	4	467.4	4.4	1.1	1	112
2000.10063.F	2000	F	4	467.4	4.4	2.1	2	219.7
2000.10063.F	2000	F	4	467.4	4.4	3.1	3	327.4
2000.10063.F	2000	F	4	467.4	4.4	3.9	4	413.55
2000.10064.F	2000	F	8	546.1	5.9	0.9	1	77.83
2000.10064.F	2000	F	8	546.1	5.9	1.9	2	171.48
2000.10064.F	2000	F	8	546.1	5.9	2.6	3	237.04
2000.10064.F	2000	F	8	546.1	5.9	3.5	4	321.33
2000.10064.F	2000	F	8	546.1	5.9	4.4	5	405.62
2000.10064.F	2000	F	8	546.1	5.9	5.2	6	480.54
2000.10064.F	2000	F	8	546.1	5.9	5.7	7	527.37
2000.10064.F	2000	F	8	546.1	5.9	5.8	8	536.73
2000.10065.F	2000	F	4	513.1	5.1	1.2	1	115.79
2000.10065.F	2000	F	4	513.1	5.1	2.2	2	217.66
2000.10065.F	2000	F	4	513.1	5.1	3.7	3	370.48
2000.10065.F	2000	F	4	513.1	5.1	4.6	4	462.16
2000.10076.F	2000	F	11	586.7	4.3	0.8	1	103.9
2000.10076.F	2000	F	11	586.7	4.3	1.6	2	214.25
2000.10076.F	2000	F	11	586.7	4.3	2.4	3	324.61
2000.10076.F	2000	F	11	586.7	4.3	2.9	4	393.58
2000.10076.F	2000	F	11	586.7	4.3	3.2	5	434.96
2000.10076.F	2000	F	11	586.7	4.3	3.6	6	490.14
2000.10076.F	2000	F	11	586.7	4.3	3.9	7	531.52
2000.10076.F	2000	F	11	586.7	4.3	4	8	545.32
2000.10076.F	2000	F	11	586.7	4.3	4.2	9	572.91
2000.10076.F	2000	F	11	586.7	4.3	4.3	10	586.7
2000.10076.F	2000	F	11	586.7	4.3	4.3	11	586.7
2000.10077.F	2000	F	5	500.4	5.5	1.1	1	94.91
2000.10077.F	2000	F	5	500.4	5.5	2.2	2	196.28
2000.10077.F	2000	F	5	500.4	5.5	3.5	3	316.09
2000.10077.F	2000	F	5	500.4	5.5	4.7	4	426.67
2000.10077.F	2000	F	5	500.4	5.5	5.2	5	472.75
2000.10081.F	2000	F	8	543.6	6.2	1.3	1	108.88
2000.10081.F	2000	F	8	543.6	6.2	2.4	2	206.47
2000.10081.F	2000	F	8	543.6	6.2	3.7	3	321.8
2000.10081.F	2000	F	8	543.6	6.2	4.5	4	392.78
2000.10081.F	2000	F	8	543.6	6.2	5.4	5	472.62
2000.10081.F	2000	F	8	543.6	6.2	5.8	6	508.11
2000.10081.F	2000	F	8	543.6	6.2	6	7	525.86
2000.10081.F	2000	F	8	543.6	6.2	6.1	8	534.73
2000.10082.F	2000	F	4	467.4	5.7	1.4	1	109.93
2000.10082.F	2000	F	4	467.4	5.7	2.9	2	234.63
2000.10082.F	2000	F	4	467.4	5.7	4.2	3	342.7
2000.10082.F	2000	F	4	467.4	5.7	5.2	4	425.83
2000.10084.F	2000	F	2	330.2	3.3	1.5	1	146.57
2000.10084.F	2000	F	2	330.2	3.3	2.3	2	228.18
2000.10115.F	2000	F	1	241.3	2.7	1.2	1	103.66
2000.10116.F	2000	F	1	248.9	2.6	1.1	1	101.58
2000.10142.F	2000	F	12	698.5	7.2	1.4	1	130.62
2000.10142.F	2000	F	12	698.5	7.2	2.5	2	238.32
2000.10142.F	2000	F	12	698.5	7.2	3.4	3	326.44
2000.10142.F	2000	F	12	698.5	7.2	4.4	4	424.35
2000.10142.F	2000	F	12	698.5	7.2	4.8	5	463.51
2000.10142.F	2000	F	12	698.5	7.2	5.4	6	522.26
2000.10142.F	2000	F	12	698.5	7.2	5.9	7	571.22
2000.10142.F	2000	F	12	698.5	7.2	6.4	8	620.17
2000.10142.F	2000	F	12	698.5	7.2	6.8	9	659.34
2000.10142.F	2000	F	12	698.5	7.2	6.9	10	669.13
