# WalleyePS.txt
#
# data extracted from Figure 2 in Kocovsky, P.M., and R.M. Carline.  2000.  A
#   comparison of methods for estimating ages of unexploited walleyes.  North
#   American Journal of Fisheries Management 20:1044-1048.
#
# Relationships between otoliths and spines and otoliths and scales are exact
#   according to Figure 2.  Relationship between spines and scales is approximate
#   as Figure 2 did not show this exact relationship.
#
# otolith: age (years) assigned from broken, ground, and polished otolith sections.
# spine: age (years) assigned from dorsal spine sections.
# scale: age (years) assigned from scale impressions.
# sex: sex of fish (female, male).
#
otolith	spine	scale	sex
1	2	1	female
2	3	2	female
2	3	2	female
2	3	2	female
2	4	2	female
2	4	2	female
2	5	2	female
2	NA	2	female
2	NA	2	female
2	NA	2	female
2	NA	2	female
2	NA	2	female
2	NA	2	female
2	NA	2	female
3	3	2	female
3	3	3	female
4	4	4	female
4	4	4	female
4	4	4	female
4	4	4	female
4	4	3	female
5	5	5	female
6	5	5	female
6	5	5	female
6	7	6	female
8	6	6	female
9	10	7	female
10	10	7	female
10	10	8	female
12	8	7	female
12	10	7	female
1	1	1	male
2	2	1	male
2	2	2	male
2	2	2	male
2	2	2	male
2	3	2	male
2	3	2	male
2	3	2	male
3	2	2	male
3	3	3	male
3	4	3	male
3	4	3	male
3	6	4	male
4	4	3	male
4	4	3	male
4	5	3	male
4	5	3	male
4	6	4	male
6	5	3	male
6	6	5	male
7	9	5	male
10	9	6	male
10	9	7	male
10	9	7	male
10	10	9	male
11	9	5	male
11	NA	7	male
12	9	7	male
13	10	6	male
