"code" "state" "site" "n" "log.a" "b" "r2" "meanWr"
1 "Arkansas" "Greers Ferry Lake" 262 -6.212 3.44 0.965 93
2 "Georgia" "Blue Ridge Lake" 17 -5.536 3.157 0.968 73
3 "Illinois" "Clinton Lake" 1436 -5.451 3.166 0.977 93
4 "Illinois" "Lake Shelbyville" 76 -5.426 3.143 0.994 86
5 "Illinois" "Braidwood Lake" 21 -7.435 3.909 0.835 93
6 "Illinois" "Collins Lake" 42 -5.448 3.154 0.993 87
7 "Illinois" "Mill Creek Lake" 12 -5.438 3.153 0.817 88
8 "Illinois" "Pierce Lake" 65 -5.396 3.127 0.983 86
9 "Illinois" "Shabbona Lake" 39 -5.321 3.121 0.992 98
10 "Indiana" "Clear Lake" 477 -5.956 3.337 0.991 78
11 "Indiana" "Crooked Lake" 253 -5.59 3.196 0.987 81
12 "Indiana" "Lake James" 26 -5.125 3.037 0.954 90
13 "Indiana" "Lake Maxinkuckee" 50 -4.993 2.968 0.984 82
14 "Indiana" "Simonton Lake" 48 -6.048 3.367 0.966 74
15 "Indiana" "Brookville Lake" 221 -5.485 3.169 0.995 89
16 "Indiana" "Cataract Lake" 110 -5.54 3.181 0.971 82
17 "Indiana" "Harden Lake" 208 -5.651 3.242 0.99 92
18 "Iowa" "Lake Red Rock" 90 -5.306 3.113 0.938 95
19 "Iowa" "Spirit Lake" 12 -5.587 3.253 0.946 116
20 "Iowa" "Clear Lake" 382 -5.797 3.312 0.982 104
21 "Kansas" "Cedar Bluff Reservoir" 95 -5.198 3.06 0.992 89
22 "Kansas" "Cheney Reservoir" 665 -5.281 3.101 0.983 89
23 "Kansas" "Clinton Lake" 366 -5.746 3.285 0.99 98
24 "Kansas" "El Dorado Lake" 229 -6.113 3.423 0.953 98
25 "Kansas" "Glen Elder Lake" 2013 -5.417 3.155 0.993 94
26 "Kansas" "Hillsdale Lake" 91 -5.754 3.291 0.977 101
27 "Kansas" "Kanopolis Lake" 636 -5.417 3.066 0.985 103
